step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
396,159184,1584,0.04860349857306347,0.25,0.25,,,,,
397,159636,1588,0.023197276916026677,1.0,1.0,,,,,
398,159896,1592,0.037544209673051866,0.25,0.25,,,,,
399,160316,1596,0.027489265829073153,0.5,0.5,,,,,
400,160704,1600,0.033854049057176594,0.25,0.25,,,,,
401,161092,1604,0.02920034917312478,0.25,0.25,0.03703890688306309,0.25,0.25,,
402,161384,1608,0.03336979223590757,0.5,0.5,,,,,
403,161676,1612,0.035685427518646465,0.0,0.0,,,,,
404,162128,1616,0.03215471888846076,0.25,0.25,,,,,
405,162516,1620,0.033738471189167285,0.25,0.25,,,,,
406,162904,1624,0.034294590158031796,0.25,0.25,,,,,
407,163356,1628,0.029126965174065,0.25,0.25,,,,,
408,163808,1632,0.03152624652087005,0.0,0.0,,,,,
409,164260,1636,0.030824322255900014,0.5,0.5,0.028603163644780542,0.25,0.25,,
410,164680,1640,0.03243229034207616,0.75,0.75,,,,,
411,165132,1644,0.03268299633444128,0.0,0.0,,,,,
412,165488,1648,0.03235945779509734,0.75,0.75,,,,,
413,165908,1652,0.031683754352339624,0.25,0.25,,,,,
414,166360,1656,0.022176786063429453,0.75,0.75,,,,,
415,166812,1660,0.020772666027156026,0.5,0.5,,,,,
416,167232,1664,0.0320140012019415,0.25,0.25,,,,,
417,167684,1668,0.031369583890294574,0.0,0.0,0.030738063446232942,0.25,0.25,,
418,168104,1672,0.027321531220718145,0.0,0.0,,,,,
419,168524,1676,0.024689422492293632,0.75,0.75,,,,,
420,168976,1680,0.02693402593527903,0.25,0.25,,,,,
421,169268,1684,0.024897045508065378,0.75,0.75,,,,,
422,169688,1688,0.03301934258293683,0.0,0.0,,,,,
423,169916,1692,0.030101633390818117,1.0,1.0,,,,,
424,170368,1696,0.0356089666014425,0.0,0.0,,,,,
425,170756,1700,0.03546879110981467,0.0,0.0,0.03197004408526766,0.5,0.5,,
426,171176,1704,0.0261197944298401,0.25,0.25,,,,,
427,171596,1708,0.03247623832628087,0.0,0.0,,,,,
428,171888,1712,0.04126726558887236,0.5,0.5,,,,,
